sentence,intent
and poetry is an extravagance about grief.,unknown
"and grievances are something that can be remedied, and griefs are irremediable, you know.",unknown
"once again, spring has come — and gone already, having arrived as early as january.",unknown
"“that’s true,” i replied.",unknown
"of eighty-three classes, only eight had gender parity, while twenty-nine had a ratio of 10 to 1 (female to male).",unknown
retirements tell the story.,unknown
"this year we bade farewell to doug anderson, simon gatrell, and fred dolezal, who were preceded in retirement last year by hugh ruppersburg and charlie doyle.",unknown
"in fact, the only woman who has retired in the past eight years was the late judith ortiz cofer.",unknown
"and so it is fitting that the next department head will be michelle ballif, who will succeed me in august.",unknown
"but gender disparity in english means there’s disparity elsewhere, and this has the potential to replicate old stereotypes in worrisome ways.",unknown
"if the “hard” sciences and the “worldly” schools like business and engineering are predominately male, a tacit signal seeps out from the university, suggesting that some fields, like literary studies, have become a kind of “woman’s work.” such social maladjustments are reflected in the even more worrisome statistics about the profession.",unknown
these figures are alarming.,unknown
"fortunately, they are not replicated here at the university of georgia, but a single institution can’t hold out forever against national trends.",unknown
"as i’ve indicated in previous columns, these are hard times for the humanities, and we recently saw the president recommend complete defunding of the national endowment for the arts and the national endowment for the humanities.",unknown
"fortunately, congress did not accept his recommendation, but the threat remains.",unknown
hard times is one thing; extinction is something else altogether.,unknown
"a classic of american history is richard hofstadter’s 1963 book anti-intellectualism in american life , with its bracing chronicle of everything you’d imagine from the title.",unknown
"but hofstadter was sensitive to the fact that the united states, as a democracy, has always needed to audition alternative voices, other perspectives; the intellectuals had no guaranteed stake in the outcome of public issues.",unknown
"but in times like these, we intellectuals occupy an increasingly precarious ground, recently made even more precarious in georgia by the governor’s signing into law the “campus carry” bill permitting concealed weapons on campus.",unknown
"as maureen downey’s “get schooled” blog for the atlanta constitution-journal reported earlier in may , an open records request revealed that the tally of calls against the bill in the 2017 legislative session was 14,873, while the number of those in favor was 145. no typo: the discrepancy is that extreme.",unknown
"it gives the phrase “special interests” a whole new profile, doesn’t it?",unknown
"we have legitimate interests as well, but apparently not special enough to count .",unknown
"we teach the whole complex world depicted in literary works, in which it’s clear that the skullduggery we face in the world today is nothing new.",unknown
"but it’s worth knowing there is historical precedent; it’s important to have access to other minds in other times, contending with the same traumas that seem so unprecedented today.",unknown
"but there’s a risk in the assessment as well, and i turn in conclusion to a warning ventured by the eminent scholar george steiner prefacing his book language and silence in 1970 (another moment of acute political trauma): “to think of literature, of education, of language, as if nothing very important had happened to challenge our very concept of these activities seems to me unrealistic,” he wrote with tactful restraint.",unknown
"“to read aeschylus or shakespeare—let alone to ‘teach’ them—as if the texts, as if the authority of the texts in our own lives, were immune from recent history, is subtle but corrosive illiteracy.”",unknown
"“i don’t know,” i had to admit.",unknown
what greek sophist is this statue representing?” i had no idea.,unknown
a long silence was my immediate response.,unknown
"as the proverbial deer in headlights, i could only stare back blankly, and then, finally, when the dead silence became too heavy, mumble, “i don’t know.” “demosthenes,” she announced to the class, and i registered her disappointment; i had been introduced to the class as a scholar of the sophists.",unknown
"yet in defense of my ignorance, i quickly told myself, had she given me a text , such as “on the crown,” i might have had a fighting chance to respond differently.",unknown
"that is, i don’t exactly plaster my office walls with posters of the sophists.",unknown
"however, years later, i still feel a need to defend my ignorance.",unknown
yet isn’t “not knowing” precisely the reason for being a student?,unknown
"indeed, wasn’t that the reason that i chose to become an apprentice of classical art and architecture, so that i could learn what i didn’t know?",unknown
"as my primary discipline is rhetorical theory, i wanted to study in a second discipline—that of ancient art and aesthetics.",unknown
"my aim was to follow my desire to examine resonances between the principles of ancient rhetoric and ancient aesthetics, including principles of symmetry, perspective, proportion.",unknown
"so i found myself in the position of a student, humbled by my ignorance.",unknown
"we are, all of us, students.",unknown
you might say that being a student is our profession.,unknown
"we are students of language, of texts; it is our profession to engage with that which we don’t know.",unknown
"this research may, it is hoped, result in publications, but it most certainly results in enriched teaching.",unknown
"they need direction, they need to learn the tricks of using a complex system, and they need to know the protocol.",unknown
and of admitting it.,unknown
and of embracing it.,unknown
"indeed, i am suggesting that for all of us, being a student is to acknowledge the limits of our knowledge, to extend a gesture of hospitality toward the unknown, and to state without embarrassment, “i don’t know.” passionate learners make effective teachers.",unknown
he has accomplished this first through his passion for the subject-matter he teaches and his ability to transfer this passion to his students.,unknown
"his teaching style encourages students to wrestle with the most challenging questions of the texts, teaching us to ask these questions ourselves in our own readings.",unknown
we are also grateful for our other donors who provide support to our students.,unknown
"we hope their generosity inspires you, and we hope that you consider contributing to the english department’s threefold mission of teaching, research, and community research.",unknown
"eliot famously named april the “cruellest month” in his poem the waste land (1922), although certainly any month that marks the loss of a friend and colleague is the cruellest of all.",unknown
"possessing an intractable will, she was often stubborn, yet easily moved to laughter.",unknown
"the christy desmet memorial fund has been established to support graduate students working in british literature prior to 1900. to support this fund, please visit: gail.uga.edu/christydesmet or send a check payable to the “christy desmet memorial fund” to the franklin college of arts and sciences, attn.",unknown
"additionally, we publicly thank dr. deborah miller for assuming the position of interim director of the first-year composition program, while we conduct a current national search.",unknown
"sending best wishes for a restorative holiday break, and for a regenerative new year—where hope may spring, eternally.",unknown
"at the risk of revealing my peculiar threshold of entertainment, when i was in graduate school a hundred years ago, my cohort of students used to host a simulacrum of academic conferences, and assign ourselves papers to deliver, using theoretical frames to critique popular tv shows, such as: a feminist reading of bonanza ; a marxist reading of gilligan’s island ; a deconstructive reading of hawaii five-o.",unknown
"(clearly, i am dating myself; some who read this will also recognize when their references to popular culture receive blind stares.)",unknown
"but i have incorporated this scholarly play into my classroom, to encourage a sense of adventure, to underscore how interpretive strategies can be employed variously, in order to provide rich readings of texts.",unknown
"i call this exercise the “lit crit blowout.” at least, i smile.",unknown
"the point of this message is to highlight the intellect, curiosity, and ingenuity of our students.",unknown
"one of these “literary theory” students, astra taylor, went on to write several books, including examined life and an accompanying dvd of the same title, which interviews key theorists and asks them—as the title suggests—how concerns of justice, truth, and meaning, for example, inflect our readings.",unknown
"of our graduates this year, i have had the pleasure of learning from the interpretive work of students including keamber farley, alex williams, ellen everitt, lukas woodyard, rachel dier, mk manoylov, and julia koslowsky.",unknown
but many more students have graced my rolls over the years.,unknown
"each student has in his/her own way become a teacher—whether in the lit crit blowouts, in papers, or in contributions to the department and world more generally.",unknown
"we proudly send our students out into the world, and they do us proud, in return.",unknown
"sadly, we have to also witness the exit of our company from this world.",unknown
"we acknowledge the death of former department head, dr. coburn freer, who passed on february 26, 2019, and who is survived by his wife of 57 years mona; daughters meagan and elinor and their husbands dan and david; and five grandchildren.",unknown
"he is also survived by a brother and sister-in-law, frank and susan freer, a half-sister toni and nieces mary ellen and diane.",unknown
but we have much to celebrate.,unknown
"santesso encourages her students to keep questioning, to join larger, interdisciplinary conversations, and to strive for excellence in and out of the classroom.” even as athens slows down to its summer pace, we'll be in park hall awaiting next year's students, who will bring with them their passion for learning, literature, and language.",unknown
welcome to 2020!,unknown
"and, although not an official anniversary, this new decade marks, roughly, the advent of the department of english at the university of georgia, approximately one hundred years ago.",unknown
"in a reaction to a national controversy over the value of teaching literature in the “mother tongue of our everyday life,” georgia’s board of trustees voted in the late 1800s that the teaching of english should be given more prominence, and so finally our community of scholars and students was given official sanction, as well as the institutional support to sustain us.",unknown
"over the past 100 years, we’ve grown in size, stature, and scope, offering much to support the study of “belles lettres,” that is characteristic of the department of english.",unknown
"dear friends and colleagues of the english department: whether an overstatement, understatement, or an example of hyperbole or litotes, it can be said that this fall semester was not.",unknown
"joshua king and caroline young detail in their featured note about teaching in prisons, or how students discuss their experiences learning to adjust to new pedagogical environments.",unknown
"we send all best wishes for a hopeful 2021—full of promise, joy, and health for all.",unknown
"their contributions to our department, to the university, and the greater profession have been many, and they will be sorely missed.",unknown
"additionally, i want to acknowledge all of our donors.",unknown
we express our deep appreciation to all our current—and—future donors.,unknown
both have served the department with dedication during the past six years in their respective administrative positions of associate head and undergraduate coordinator.,unknown
"the work done in such administrative positions, along with the work of their support staff, is often invisible, but is essential to ensuring the conditions of possibility for our individual and collective success.",unknown
"as part of our core mission statement, the department of english is proud to offer students “a sympathetic participation in the verbal worlds of other times and places, drawing on the full range of linguistic tools, historic knowledge, and interpretive experience at our disposal.” aiming to “allow our students to enhance their appreciation of expressive possibility,” we hope to develop “a sophisticated, practical grasp of the central role that language plays in the preservation of human institutions”—and relations, i would add.",unknown
"these theories also invite ethical implications for how one chooses to “be in the world.” we each make many choices every day, but choices always have consequences.",unknown
"one of the theorists we read, martha nussbaum, for example, discussed the importance of mutual care as a foundation for justice.",unknown
"to me, this idea highlights the lived experience that we are each brought into this world, absolutely dependent on the care of others.",unknown
"as a corollary, subsequently, we have the responsibility for others, as well.",unknown
"as many of you don’t know, i live on a farm, and i well know the responsibilities of caring for, nurturing, and sustaining all under my care.",unknown
"this “response-ability,” as scholar diane davis notes, means we have an ethical obligation to respond to the other, insofar as we are able.",unknown
"we respond when anyone calls us—not necessarily in a moment of distress, but when someone says our name or when a stranger hails us.",unknown
"that is: when called, even metaphorically, i turn; i respond , as responsibly as i am able, because i acknowledge that there are many who have nurtured me and provided opportunity for me.",unknown
this response becomes the answer to the call to be responsible to these others.,unknown
"all best, michelle ballif",unknown
"although a shake of the magic 8-ball earlier this academic year might have predicted otherwise, we conclude the semester with much to celebrate!",unknown
we are proud to recognize our approximately 120 graduating a.b.,unknown
students and 8 graduating m.a.,unknown
"and ph.d. students, who succeeded in less-than-ideal circumstances.",unknown
"we also express our gratitude to members of our departmental staff, who spent hours preparing the building for pandemic conditions, whilst still assuming their normal responsibilities, such as handling budgetary matters and advising students.",unknown
"although the academic year may have ended, we are busy preparing for our fall semester.",unknown
returning students may note that park hall has received a fresh lick of paint on the walls and should surely appreciate several renovated bathrooms.,unknown
"dr. hussey has previously worked in our first-year writing program as an instructor, as well as taught as a brittain fellow at the georgia institute of technology.",unknown
we welcome them both and are confident they will continue our teaching mission with distinction.,unknown
"as well, the department of english is committed to scholarship and research in our collective fields of inquiry.",unknown
"with every best wish, dr. michelle ballif head of the department of english",unknown
"in some ways it was a return to what was, i see more students in my classroom, and sitting on the stone wall outside of park hall, reading and chatting, or simply sitting with their eyes d. but we've all changed over the past two years.",unknown
"for me, the trick is to keep moving forward with belief in what awaits.",unknown
"""'hope is a thing with feathers --,"" emily dickinson reminds us, ""that perches in the soul -- / and sings the tune without the words -- / and never stops – at all – "".",unknown
"i'm writing this in late april, and the intense green of new leaves outside my office promises that spring is about to turn into summer, and thus the end of the academic year.",unknown
we all long for those final weeks of the semester when april becomes may.,unknown
"in academia, there are two temporal cycles, the one that nature offers us and the other set forth by the academic calendar.",unknown
"those who are graduating are eager to begin the next phase of their lives, while continuing undergraduates and graduate students are already thinking about their fall schedules and responsibilities, even if they are also planning to sit in the sun and just breathe for at least a few of the hot summer days already promised in the air.",unknown
"fall of 2022 saw the retirement of dr. tricia lootens, while dr. michelle ballif, our current department head, will be retiring in august.",unknown
"it has been my great pleasure to work with both of these distinguished and dedicated colleagues for more than 27 years, and the department will not be the same without them, at least not for me.",unknown
"but i'm a romanticist and an idealist and so i'll turn just slightly away from bittersweet goodbyes and the new rhythms they bring, borrowing my final words from philip larkin's ""the trees"".",unknown
"to all of you, i say ""begin afresh, afresh, afresh.""",unknown
"well, that was a whirlwind!",unknown
"my first semester as interim head is now in the books, and i could not be more grateful for the experience.",unknown
"rather, it is a collective endeavor, an ever-evolving community of students, teachers, researchers, staff, and administrators, all of whom—without exception--are passionately dedicated to the study of language and writing.",unknown
this semester brought a variety of changes.,unknown
"instead of spending endless hours on zoom, park hall is once again a busy and bustling place.",unknown
(thank goodness.),unknown
they are already contributing to the department in numerous ways and we feel fortunate to have them as colleagues.,unknown
"at the same time, we must say a bittersweet farewell to some of the most treasured members of the department.",unknown
"tricia lootens, michelle ballif, and barbara bendzunas have all retired.",unknown
"tricia lootens, a widely respected scholar and teacher of victorian literature, retired in 2022 after teaching at uga for 29 years.",unknown
"michelle ballif, an eminent scholar of rhetoric and skilled administrator, came to uga in 1995 and served as the department head from 2016-22. during their time here, drs.",unknown
"lootens and ballif inspired countless students and had an indelible impact on their fields, the department, and the university.",unknown
"barbara bendzunas, until her retirement this winter, managed our main office.",unknown
"for the past 11 years, she did everything for the department from making copies to sharing fresh treats and vegetables.",unknown
"all of us will miss tricia, michelle, and barbara, and we wish them a happy and fulfilling retirement.",unknown
"so to everyone who has contributed to the department of english in one way or another, whether now or in the past: thank you so much.",unknown
spring 2023 was a lively and productive semester for the department of english.,unknown
"successful classes were taught, work was published, prizes were won, and connections were made both on and off the page.",unknown
dr. végső is excited to come to georgia and brings a wealth of experience to the position.,unknown
the future looks very bright for english at uga.,unknown
"although many things are new in the department, the most important things are very much the same.",unknown
"park hall is still a bustling place of intellectual community where everyone, it seems, is reading something.",unknown
"classes continue to be student-centered and focus on the complexities of language, storytelling, and verbal art.",unknown
he plans to stay in athens and finish up his much-anticipated authorized biography of ernest j. gaines.,unknown
he and suzi plan to move to la to be r to their family.,unknown
"i know i speak for all of you when i say: we will dearly miss dr. lowe and dr. rasula, and we are grateful for their many contributions to the department of english, the university of georgia, and the athens community.",unknown
"dear colleagues, students, alumni, and friends of english, i am writing to you for the first time as the new head of the department of english at the university of georgia.",unknown
my journey to park hall has been long and somewhat adventurous.,unknown
"i am a native of hungary, and i completed most of my education in europe (in hungary and germany).",unknown
"my first job after graduation was at the university of tennessee, knoxville.",unknown
"in 2009, i moved to the university of nebraska-lincoln, where i taught for the last fourteen years.",unknown
"needless to say, it was an inexhaustible fascination with language that set me on this career path.",unknown
my current research primarily focuses on the first half of the 20th century and is located at the crossroads of literary criticism and philosophy.,unknown
"i am also deeply interested in the study and practice of translation, so i am always on the lookout for my next translation project.",unknown
i am happy to report that my first semester in park hall did not disappoint.,unknown
"in light of this auspicious start in my new position, i find it easy to be optimistic about what we can accomplish together as a department.",unknown
i am very much looking forward to working with my colleagues both in english and beyond to build an even brighter future.,unknown
"however, i was not the only new person who joined the department this last fall.",unknown
we are very lucky to welcome several new colleagues.,unknown
"dr. julia rice mattison is our new medievalist and early modernist with a particular interest in material culture, multilingualism, translation.",unknown
those of you who are still in park hall will certainly have a chance to meet her in our front office on the second floor.,unknown
"at the same time, we also had to say goodbye to dr. roxanne eberle, who decided to retire at the end of the fall semester.",unknown
"beyond her contributions to the field of british nineteenth-century studies, dr. eberle has had a striking impact on the life of the department.",unknown
she took on a variety of important administrative positions in the department—including undergraduate coordinator and associate head—for more than a decade in total.,unknown
laurie is the co-director for the college of education’s office of undergraduate advising.,unknown
laurie received her bsw in social work from cleveland state university and has worked in higher education for over ten years at the university of georgia and in ohio.,unknown
laurie has a strong focus on student success.,unknown
"laurie is enjoying the georgia weather, especially in the winter.",unknown
"she also enjoys reading, traveling, cooking and spending time with her family.",unknown
details to come!,unknown
"on april 5, 2025, uga will be hosting the spring georgia medieval group meeting.",unknown
more info coming soon,unknown
more info coming soon!,unknown
"john wharton lowe, iii passed away unexpectedly on august 5, 2023, leaving a hole in the lives of everyone who knew him.",unknown
"thanks to mrs. lowe’s generosity, the english department is launching the john wharton lowe, iii graduate fellowship and the john wharton lowe, iii graduate support fund.",unknown
"he recently completed a landmark biography of his friend, the novelist ernest gaines.",unknown
he was especially proud of his work with students and directed twenty-nine doctoral dissertations.,unknown
gogoi will be conducting a writing masterclass and have a reading with book signings at the festival.,unknown
"during that time the graduate school will pay mandatory student fees, provide travel support of $1,000 per year, offer regular programming that emphasizes professional / leadership development, and host regular meetings with senior university leadership.",unknown
priyadarshini oshin gogoi is a presidential fellow at the university of georgia.,unknown
"she has an mfa in creative writing from miami university of ohio, and a ba and ma in english literature from the university of delhi.",unknown
"her areas of interest include postcolonial, south asian, and northeast indian coming of age writing, as well as children's and young adult literature.",unknown
"it would take too long to list all of our recent accomplishments, so i will mention here only some of our highlights from 2024. david diamond published his first scholarly monograph, reading character after calvin: secularization, empire, and the 18th-century novel.",unknown
ed pavlić’s essay “anita baker introduced us...” was selected for inclusion in the best american essays 2024 anthology.,unknown
"aruni kashyap published his collection of stories, the way you want to be loved, and received a prestigious fellowship from the radcliffe institute for advanced study at harvard university.",unknown
their services are free of cost and available to all uga writers.,unknown
many of our students also had a truly successful year.,unknown
rahad abir was named the georgia author of the year in the literary fiction and short story collection category for his book bengal hound .,unknown
"jessica demarco-jacobson’s article, “the risorgimento of christina rossetti” was published in the 2024 special edition of the pre-raphaelite society review .",unknown
abhijit sarmah was a finalist for the prestigious ruth lilly and dorothy sargent rosenberg poetry fellowship for the second consecutive year.,unknown
but i hope that even this selective list clearly demonstrates how lucky we are to be able to work with so many exceptionally talented writers and thinkers in the english department.,unknown
"as some of you might recall, the fall semester of 2023 started with some unexpected news.",unknown
"in early august, we learned that our recently retired colleague, john wharton lowe, passed away.",unknown
"he has authored and edited numerous books, published dozens of essays, and presented over 80 papers in north america, europe, and asia.",unknown
"this year, we have also established the dr. chris alexander first year writing support fund to honor the memory of our recently deceased colleague.",unknown
"if you consider writing in all its forms to be an essential skill, you can help our students by donating to this fund.",unknown
2024 was also a watershed year for one of our other distinguished colleagues.,unknown
"after an illustrious career of dedicated service, dr. kretzschmar, a world-renowned linguist, who has been a cornerstone of uga’s department of english, making groundbreaking contributions to sociolinguistics and dialectology, particularly through his work on the linguistic atlas project, decided to retire.",unknown
"throughout his tenure, dr. kretzschmar inspired countless students across several continents and enriched the university’s academic community with his expertise and passion.",unknown
his contributions have left an indelible mark on uga and the field of linguistics.,unknown
i will conclude this note by wishing a happy new year to everyone.,unknown
i want to thank you all for your continued support of our department.,unknown
i am looking forward to all the new projects that we will be able to work on together during the forthcoming year.,unknown
2024 2022 2021 2020 2019 2018 2017 2016 2015 2013 2011 2009,unknown
we are involved in a number of interdisciplinary research projects and collaborations.,unknown
"jessica rayburn graduated from uga’s franklin college in the spring of 2007. after spending most of her “adult” life in colorado, she accepted the opportunity to “build out the revenue enablement function at a scale-up proptech company based in london.” ever since i learned to read, i’ve had a book in my hands.",unknown
"i started my journey at uga with the intention of going to medical school but after half a semester of chemistry, i realized i don’t really like the intricacies of science…and my test scores showed it.",unknown
"after my midterm exam, i went straight to my student counselor’s office and changed my focus to the subject i loved the most, english.",unknown
i could go on and on about how my time at franklin college enhanced my abilities to think in the abstract and build a strong case but there’s one thing that always stands out: i know how to tell a story.,unknown
successful salespeople are all master storytellers.,unknown
the key lies in seamlessly linking a challenge to its solution and visualizing yourself in a prospect's daily routine.,unknown
can you then paint a picture where your buyers clearly envision themselves attaining their business objectives and goals?,unknown
"when you connect those dots for your buyers, you’ll the deal.",unknown
child of god by cormac mccarthy i picked up ivanhoe on a trip to scotland and just finished it up.,unknown
british & irish studies institute for african american studies institute of native american studies linguistics franklin college writing intensive program interdisciplinary writing certificate program uga at oxford willson center for humanities and arts women’s studies african american studies interdisciplinary certificate in university teaching find a complete list of graduate certificate programs here .,unknown
ctl fellows for innovative teaching lilly teaching fellows senior teaching fellows service-learning fellows special collections libraries teaching fellows,unknown
"in that time, he touched many lives with his kindness, wit, and support.",unknown
below some of his students share why dr. lowe is so important to all of us.,unknown
"dr. mary anne o’neal of athens, georgia died on june 17, 2023 after living with appendix cancer for over 10 years.",unknown
"born in bennettsville, south carolina on may 17, 1963, she was a graduate of marlboro academy (sc), earned her b.a.",unknown
"in english at mars hill college in 1985, her m.a.",unknown
"from western carolina university in 1988, and her ph.d. in english from the university of georgia in 1999. she taught english at uga for three decades and was beloved by generations of her students.",unknown
she was an accomplished scholar and teacher and a skilled pianist whose varied repertoire ranged from chopin to broadway show tunes to top 40 hits of the 1970s and 1980s to the broadman hymnal.,unknown
"she created a beautiful garden at her home in athens that continues to be a place of peace and comfort for her family and friends (though in her charming, self-deprecating way she once wrote in a poem that she had “failed to ferret out the green verbena in its youth”).",unknown
she loved words and books and wrote a brilliant dissertation on kate chopin and other women writers of new orleans.,unknown
"travel was her all-consuming passion, and over many years she and her family took trips to the united kingdom, ireland, france, germany, austria, italy, portugal, the netherlands, and spain, as well as to new orleans, santa fe, oregon, california, and many other places in the united states.",unknown
"in all things, mary anne embraced the beauty and magic she found in the everyday.",unknown
"“i’ve decided that the universe is going to come to me,” she once said, “if i can’t go to the universe.” she lived her entire life to the fullest, but particularly so in the years since her diagnosis.",unknown
"she traveled widely, befriended many, and fiercly and fully loved fully her husband of 25 years, dr. david ingle, and their three children joseph (and his wife victoria), madeleine, and eliza.",unknown
"mary anne had a rare combination of fine qualities: a brilliant mind, a formidable memory, a gentle spirit, effortless beauty, and an ease about herself that in turn put those around her at ease.",unknown
"she possessed resilience, wit, wisdom, grace, and genuine compassion.",unknown
she was eminently practical yet admirably idealistic.,unknown
"words cannot capture her adequately, but one of her dear friends put it well when she said, “when i was with her, i knew i was home.” in addition to her husband and children, she is survived by her father, charles o’neal of brownsville, south carolina (her mother, celia moore o’neal, predeceased her in 2011), her sister martha glover (husband will, niece celia adams, nephews bill and tom glover), and her brothers charlie (marsha, bo, and erin), steve (ann, jennifer and scott), and johnny (beverly, jessica, joshua, and jacob).",unknown
"after her death, her daughter madeleine discovered the following quote from john henry griffith in mary anne’s notes.",unknown
we think its eloquence should be shared: “i am convinced that there is something more: that human consciousness is independent of the body and that the death of the body is not an ending of consciousness -- it is rather a passing.,unknown
my parting wish for my friends is that they nurture compassion and walk humbly in the presence of unfathomable mystery.”,unknown
"free and open to the public, this year’s inaugural reading drew an exciting and engaged crowd to the park hall auditorium.",unknown
"celebrants, authors, and mentors enjoyed a catering spread and fellowship with one another after the summer holidays before taking their seats.",unknown
"first, the audience enjoyed a gripping cluster of poetry from o-jeemiah agbaakin.",unknown
"up next, erik b. brown treated the group to some of his own captivating verse.",unknown
"finally, colin bishoff pivoted to prose and delighted the crowd with selections from one of his short stories.",unknown
sigma tau delta is dedicated to creating community within the english department by organizing volunteer opportunities and holding formal and informal get-togethers throughout the school year.,unknown
"the newest class of members includes: ava allred, whitney bramlett, katherine burch, cacie cummings, kate gottsman, jason hawkins, nico houser, audrey kirkland, anna sears, shelby williams, and autumn rose young.",unknown
sigma tau delta president kai spencer and treasurer brienne heinssen also graduated in december 2023. we thank them for their leadership and service and know they will continue to do great things!,unknown
an unhinged powerpoint night.,unknown
a halloween costume party.,unknown
a poetry reading in the style of dead poets society.,unknown
study halls where studying is definitely done.,unknown
a craft party where fall leaves are transformed into art by gentle hands.,unknown
"at the undergraduate english association , all of these nights of whimsy are possible.",unknown
"“last spring, we still felt like we were figuring out what we wanted this club to be,” says nina meier, the uea’s president.",unknown
"some weeks were planned meticulously in advance, such as the uea’s discussion with time out of joint, an organization that does shakespeare workshops in prisons.",unknown
members were able to ask formerly incarcerated educators questions about their mission to make shakespeare accessible and their individual pedagogies.,unknown
"other weeks had more room for spontaneity, such as the fall crafts meeting.",unknown
now wrapping up its second semester since its (re?,unknown
")founding, the undergraduate english association has come into its own.",unknown
"the club’s president, nina meier, graduated this fall (go nina!!)",unknown
and her absence will be felt and suffered.,unknown
"but the club is in the capable hands of dani garcia-pozo, the current vice president.",unknown
"miriam jacobson, sujata iyengar, and librarian anne meyers devine) held two meetings this year.",unknown
"sponsors included the willson center, the department of english, and the bibliographical society of america.",unknown
"james sargan, julie mattison, and jacobson, and another with drs.",unknown
"sargan, mattison, and jacobson shared scholarship on new ways to read medieval and renaissance book bindings through queer and trans theory, attention to fragments, and historical fantasies about binding.",unknown
iyengar and low responded to coley's work by analyzing the relationship between shakespeare and contemporary book arts; dr. benedict considered artists' books from contemporary latin america.,unknown
"oluwatoyosi agbaakin ’s poems are forthcoming in the following journals: denver quarterly , epoch magazine , colorado review , transition magazine , and poetry magazine .",unknown
"in 2023, he won the key west literary fellowship, and was invited to read his work by the african poetry book fund at the african center in was new york city and avid poetry reading series, avid bookshop, athens, ga. zack anderson published four prose poems in annulet: a journal of poetics .",unknown
"he presented a paper on laura riding titled ""spurious mediumship: translation living and dead"" at the samla conference in atlanta.",unknown
this year she also helped organize the victorians institute's annual conference.,unknown
"additionally, she presented on teaching victorian texts in the first-year writing classroom and acted in a staged reading of sullivan's dr. jekyll and mr. hyde at the north american victorian studies association conference.",unknown
"his paper ""all of them witches: genre revisionism and authorship in roman polanski's macbeth "" will be presented to the shakespeare on television and film panel at the 2024 national pop cultural association / american popular culture (pca/aca) conference.",unknown
"his essay ""undetermined circumstances,"" which appeared in the fall 2022 edition of the oxford american , was selected as one of twelve finalists (out of more than 1200 submissions) for the 2023 tom howard/john h. reid fiction and essay contest.",unknown
kelsey mcqueen was selected to receive a 2023-2024 jane mulkey green and rufus king green graduate fellowship from the university's franklin college.,unknown
"sayantika mandal organized and moderated a panel titled “defying tradition in lyric flash creative nonfiction” at the annual awp 2023 conference in seattle, and she was the only graduate student from uga who had a panel accepted at the conference.",unknown
"additionally, she was selected for the kenyon review writers workshop.",unknown
"ben rutherford co-wrote a chapter (“down in strata: stratigraphic poetics and feminist literary engagement in brenda hillman's cascadia.”) with gerald maa about the poetry of brenda hillman and her experimental, feminist poetics of california for the routledge companion to ecopoetics ; and presented a companion piece to this chapter at the asle conference held in portland, oregon called “hillman's birds: writing as praxis in brenda hillman's practical water .” abhijit sarmah was a finalist for 2023 ruth lilly and dorothy sargent poetry fellowship.",unknown
it is considered one of the top poetry fellowships given to young poets based in the us by the poetry foundation.,unknown
"he also read original work as part of a distinguished panel at the 2023 phillis wheatley poetry festival, and presented a paper titled “refusing to move beyond biases: racism in hollywood and earnest gaines’ of love and dust ” at the 2023 southeastern american studies association conference.",unknown
"sarah shermyen published a peer-reviewed article in studies in american humor (""reading gertrude stein for pleasure: finding the 'mere humor' in 'high modernism'"") and her review “the porch: meditations on the edge of nature” by charlie hailey is accepted for publication in the georgia review .",unknown
"on december 1, kaitlin presented the paper, ""'end of descriptive passage': sublime encounters in mercier and camier"" at the 8th annual samuel beckett society conference.",unknown
hannah v warren spent the 22/23 year in germany as a fulbright fellow.,unknown
"she’s thrilled to share that her poetry collection slaughterhouse for old wives' tales will debut with sundress publications in january 2024. in the past year, she published poetry with colorado review , southeast review , nimrod , arkansas international , seneca , and pleiades , as well as english translations of german poet alexandra bernhardt's poetry with action books.",unknown
she has forthcoming a critical article in science fiction film and television and a book chapter in creatures in the classroom: teaching environmental creature features .,unknown
"while in germany, hannah presented research on zora neale hurston's mules and men at the annual conference of the german association for american studies in rostock, and a creative and critical exploration of monstrosity at the university of freiburg.",unknown
"this isn’t a journey i often share, but it’s the one that happened, and i don’t wish it otherwise.",unknown
"i went on to fall in love with early modern literature, and after graduate school i’ve since found my way back to a creative world, too.",unknown
picking just one is exceptionally difficult!,unknown
i devoured it!,unknown
i remember feeling totally on fire yet totally overwhelmed.,unknown
"those feelings must have registered plainly on my face in that second week of class, because dr. d said “forrester, you look totally lost.",unknown
did you know that’s the best place to be?”.,unknown
"i didn’t know it at the time, but dr. d was telling we that there was a great intellectual worth in curiosity, uncertainty; to be lost was to ever be in a place to find.",unknown
that exchange stuck with me as a motivator for finding my footing whenever i felt stuck in my work during my doctoral study.,unknown
"writing skills so often decide crucial opportunities for us, whether that be jobs, fellowships, graduate schools, or other markers of professionalization.",unknown
"writing is a skill that never ceases to be asked of us, whether that be in workspaces, social media spaces, or basic spaces of communication.",unknown
rebecca makkai’s the great believers (2018) has stuck with me as the most memorable read of my adult life.,unknown
"the book unfolds around a queer community in chicago during the aids crisis and explores how that tragedy shapes their lives as they search for meaning, goodness, resolution, and joy in its aftermath.",unknown
it ticked my boxes.,unknown
"i recently finished tomorrow, tomorrow, and tomorrow (2022) by gabrielle zevin at the advice of a very trusted avid worker.",unknown
"jennifer martin graduated from uga with a master's in english in 2011. currently, she serves as an english instructor in a title 1 high school - peach county high.",unknown
"she teaches american literature, advanced placement, american sign language, and journalism.",unknown
"her short story ""the notes between shalom"" was recently published by syncopation literary journal.",unknown
i encountered characters and questions that i never would have previously considered.,unknown
